0711 16:03:43885 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 249
0711 16:03:47480 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 255
0711 16:03:47481 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 255
0711 16:03:47503 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 256
0711 16:03:47505 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 256
0711 16:03:47828 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 245
0711 16:03:47829 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 245
0711 16:03:47836 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 246
0711 16:03:47837 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 246
0711 16:03:47845 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 247
0711 16:03:47845 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 247
0711 16:03:47853 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 248
0711 16:03:47853 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 248
0711 16:03:47862 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 249
0711 16:03:47862 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 249
0711 16:03:47871 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 250
0711 16:03:47871 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 250
0711 16:03:47880 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 251
0711 16:03:47880 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 251
0711 16:03:47889 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 252
0711 16:03:47889 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 252
0711 16:03:47898 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 253
0711 16:03:47899 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 253
0711 16:03:47907 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 254
0711 16:03:47908 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 254
0711 16:03:47918 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 255
0711 16:03:47920 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 255
0711 16:03:47941 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 256
0711 16:03:47943 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 256
0711 16:03:48214 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 245
0711 16:03:48214 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 245
0711 16:03:48222 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 246
0711 16:03:48222 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 246
0711 16:03:48230 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 247
0711 16:03:48230 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 247
0711 16:03:48238 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 248
0711 16:03:48239 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 248
0711 16:03:48247 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 249
0711 16:03:48247 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 249
0711 16:03:48256 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 250
0711 16:03:48256 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 250
0711 16:03:48265 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 251
0711 16:03:48265 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 251
0711 16:03:48274 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 252
0711 16:03:48275 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 252
0711 16:03:48284 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 253
0711 16:03:48284 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 253
0711 16:03:48293 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 254
0711 16:03:48293 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 254
0711 16:03:48303 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 255
0711 16:03:48305 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 255
0711 16:03:48326 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 256
0711 16:03:48329 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 256
0711 16:03:48643 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 245
0711 16:03:48644 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 245
0711 16:03:48651 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 246
0711 16:03:48652 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 246
0711 16:03:48660 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 247
0711 16:03:48660 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 247
0711 16:03:48668 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 248
0711 16:03:48668 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 248
0711 16:03:48676 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 249
0711 16:03:48676 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 249
0711 16:03:48685 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 250
0711 16:03:48685 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 250
0711 16:03:48694 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 251
0711 16:03:48694 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 251
0711 16:03:48703 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 252
0711 16:03:48703 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 252
0711 16:03:48712 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 253
0711 16:03:48712 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 253
0711 16:03:48721 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 254
0711 16:03:48722 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 254
0711 16:03:48732 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 255
0711 16:03:48733 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 255
0711 16:03:48753 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 256
0711 16:03:48754 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 256
0711 16:03:49063 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 245
0711 16:03:49063 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 245
0711 16:03:49071 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 246
0711 16:03:49071 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 246
0711 16:03:49079 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 247
0711 16:03:49080 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 247
0711 16:03:49087 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 248
0711 16:03:49088 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 248
0711 16:03:49096 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 249
0711 16:03:49096 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 249
0711 16:03:49105 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 250
0711 16:03:49105 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 250
0711 16:03:49114 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 251
0711 16:03:49114 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 251
0711 16:03:49123 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 252
0711 16:03:49123 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 252
0711 16:03:49132 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 253
0711 16:03:49133 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 253
0711 16:03:49141 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 254
0711 16:03:49142 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 254
0711 16:03:49152 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 255
0711 16:03:49153 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 255
0711 16:03:49173 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 256
0711 16:03:49175 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 256
0711 16:03:49483 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 245
0711 16:03:49483 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 245
0711 16:03:49491 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 246
0711 16:03:49492 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 246
0711 16:03:49499 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 247
0711 16:03:49500 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 247
0711 16:03:49507 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 248
0711 16:03:49508 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 248
0711 16:03:49516 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 249
0711 16:03:49516 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 249
0711 16:03:49525 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 250
0711 16:03:49526 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 250
0711 16:03:49534 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 251
0711 16:03:49535 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 251
0711 16:03:49544 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 252
0711 16:03:49544 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 252
0711 16:03:49553 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 253
0711 16:03:49553 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 253
0711 16:03:49562 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 254
0711 16:03:49563 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 254
0711 16:03:49573 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 255
0711 16:03:49574 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 255
0711 16:03:49594 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 256
0711 16:03:49596 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 256
0711 16:03:49833 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 245
0711 16:03:49833 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 245
0711 16:03:49841 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 246
0711 16:03:49841 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 246
0711 16:03:49849 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 247
0711 16:03:49849 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 247
0711 16:03:49857 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 248
0711 16:03:49858 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 248
0711 16:03:49866 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 249
0711 16:03:49866 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 249
0711 16:03:49875 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 250
0711 16:03:49875 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 250
0711 16:03:49884 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 251
0711 16:03:49884 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 251
0711 16:03:49893 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 252
0711 16:03:49893 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 252
0711 16:03:49902 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 253
0711 16:03:49902 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 253
0711 16:03:49911 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 254
0711 16:03:49912 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 254
0711 16:03:49922 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 255
0711 16:03:49923 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 255
0711 16:03:49945 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 256
0711 16:03:49946 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 256
0711 16:03:50186 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 245
0711 16:03:50187 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 245
0711 16:03:50194 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 246
0711 16:03:50195 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 246
0711 16:03:50203 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 247
0711 16:03:50203 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 247
0711 16:03:50211 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 248
0711 16:03:50212 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 248
0711 16:03:50220 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 249
0711 16:03:50220 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 249
0711 16:03:50229 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 250
0711 16:03:50229 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 250
0711 16:03:50238 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 251
0711 16:03:50238 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 251
0711 16:03:50247 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 252
0711 16:03:50247 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 252
0711 16:03:50256 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 253
0711 16:03:50256 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 253
0711 16:03:50266 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 254
0711 16:03:50266 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 254
0711 16:03:50276 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 255
0711 16:03:50278 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 255
0711 16:03:50297 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 256
0711 16:03:50299 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 256
0711 16:03:52380 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 243
0711 16:03:52380 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 243
0711 16:03:52384 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 244
0711 16:03:52385 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 244
0711 16:03:52390 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 245
0711 16:03:52390 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 245
0711 16:03:52395 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 246
0711 16:03:52396 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 246
0711 16:03:52401 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 247
0711 16:03:52402 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 247
0711 16:03:52408 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 248
0711 16:03:52408 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 248
0711 16:03:52415 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 249
0711 16:03:52415 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 249
0711 16:03:52422 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 250
0711 16:03:52422 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 250
0711 16:03:52429 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 251
0711 16:03:52429 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 251
0711 16:03:52436 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 252
0711 16:03:52437 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 252
0711 16:03:52444 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 253
0711 16:03:52445 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 253
0711 16:03:52452 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 254
0711 16:03:52452 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 254
0711 16:03:52461 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 255
0711 16:03:52462 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 255
0711 16:03:52478 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 256
0711 16:03:52480 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 256
0711 16:03:52934 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 241
0711 16:03:52934 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 241
0711 16:03:52939 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 242
0711 16:03:52939 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 242
0711 16:03:52944 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 243
0711 16:03:52944 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 243
0711 16:03:52949 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 244
0711 16:03:52950 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 244
0711 16:03:52955 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 0, y: 245
0711 16:03:52956 :: Some neighboring terrains could not be updated properly. TerrainNum: 0, x: 1, y: 245
